"pid","did","lptime","pborough","cnt"
1,1,9,"""EWR""",13
1,1,13,"""EWR""",16
1,1,14,"""EWR""",22
1,1,15,"""EWR""",19
1,1,16,"""EWR""",24
1,1,17,"""EWR""",12
1,1,18,"""EWR""",16
4,79,2,"""Manhattan""",12
4,79,23,"""Manhattan""",15
7,7,8,"""Queens""",12
7,7,13,"""Queens""",12
7,7,18,"""Queens""",12
12,230,15,"""Manhattan""",13
12,232,13,"""Manhattan""",12
13,13,8,"""Manhattan""",16
13,13,10,"""Manhattan""",13
13,13,11,"""Manhattan""",12
13,13,13,"""Manhattan""",13
13,13,14,"""Manhattan""",11
13,13,15,"""Manhattan""",13
13,13,17,"""Manhattan""",13
13,13,18,"""Manhattan""",11
13,13,19,"""Manhattan""",12
13,48,9,"""Manhattan""",12
13,48,13,"""Manhattan""",14
13,48,14,"""Manhattan""",11
13,48,16,"""Manhattan""",13
13,48,17,"""Manhattan""",21
13,48,18,"""Manhattan""",13
13,68,11,"""Manhattan""",11
13,68,13,"""Manhattan""",16
13,68,14,"""Manhattan""",17
13,68,15,"""Manhattan""",12
13,68,16,"""Manhattan""",12
13,68,17,"""Manhattan""",13
13,68,18,"""Manhattan""",11
13,79,17,"""Manhattan""",13
13,100,8,"""Manhattan""",14
13,100,9,"""Manhattan""",12
13,132,14,"""Manhattan""",14
13,132,15,"""Manhattan""",12
13,144,13,"""Manhattan""",12
13,144,14,"""Manhattan""",11
13,158,14,"""Manhattan""",17
13,158,15,"""Manhattan""",16
13,158,16,"""Manhattan""",12
13,158,17,"""Manhattan""",18
13,158,18,"""Manhattan""",16
13,161,9,"""Manhattan""",11
13,161,13,"""Manhattan""",12
13,161,16,"""Manhattan""",11
13,163,12,"""Manhattan""",12
13,163,14,"""Manhattan""",13
13,163,17,"""Manhattan""",13
13,164,12,"""Manhattan""",12
13,164,15,"""Manhattan""",13
13,170,13,"""Manhattan""",13
13,170,18,"""Manhattan""",12
13,186,13,"""Manhattan""",11
13,186,14,"""Manhattan""",12
13,186,18,"""Manhattan""",12
13,211,11,"""Manhattan""",19
13,211,13,"""Manhattan""",13
13,211,14,"""Manhattan""",15
13,211,16,"""Manhattan""",14
13,211,17,"""Manhattan""",18
13,211,19,"""Manhattan""",13
13,230,13,"""Manhattan""",26
13,230,14,"""Manhattan""",18
13,230,15,"""Manhattan""",31
13,230,16,"""Manhattan""",17
13,230,17,"""Manhattan""",20
13,230,18,"""Manhattan""",12
13,231,8,"""Manhattan""",37
13,231,9,"""Manhattan""",29
13,231,10,"""Manhattan""",16
13,231,11,"""Manhattan""",22
13,231,12,"""Manhattan""",29
13,231,13,"""Manhattan""",19
13,231,14,"""Manhattan""",27
13,231,15,"""Manhattan""",26
13,231,16,"""Manhattan""",17
13,231,17,"""Manhattan""",30
13,231,18,"""Manhattan""",23
13,232,13,"""Manhattan""",13
13,232,14,"""Manhattan""",12
13,234,12,"""Manhattan""",12
13,234,14,"""Manhattan""",13
13,234,18,"""Manhattan""",12
13,246,8,"""Manhattan""",12
13,246,13,"""Manhattan""",15
13,246,14,"""Manhattan""",18
13,246,15,"""Manhattan""",12
13,246,16,"""Manhattan""",13
13,246,17,"""Manhattan""",14
13,246,18,"""Manhattan""",16
13,246,19,"""Manhattan""",12
13,246,20,"""Manhattan""",11
13,249,10,"""Manhattan""",11
13,249,13,"""Manhattan""",13
13,249,14,"""Manhattan""",16
13,249,17,"""Manhattan""",14
13,249,18,"""Manhattan""",13
13,249,19,"""Manhattan""",20
24,41,11,"""Manhattan""",12
24,41,13,"""Manhattan""",13
24,41,14,"""Manhattan""",14
24,41,15,"""Manhattan""",14
24,41,16,"""Manhattan""",23
24,41,17,"""Manhattan""",21
24,41,18,"""Manhattan""",13
24,41,19,"""Manhattan""",11
24,42,17,"""Manhattan""",11
24,74,15,"""Manhattan""",13
24,74,17,"""Manhattan""",12
24,75,8,"""Manhattan""",18
24,75,9,"""Manhattan""",15
24,75,14,"""Manhattan""",12
24,107,18,"""Manhattan""",11
24,142,6,"""Manhattan""",15
24,142,9,"""Manhattan""",11
24,142,10,"""Manhattan""",12
24,142,11,"""Manhattan""",13
24,142,13,"""Manhattan""",16
24,142,14,"""Manhattan""",12
